YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Amount	People	Ships	Other
1898-01-01	1	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	2	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	3	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	4	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 						315	310	24	29.63	66	29	29	34	oc	n	0			
1898-01-01	5	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	6	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	7	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	8	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 						315	310	21	29.76	75	26	28	34	bc	cu	3			
1898-01-01	9	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	10	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	11	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	12	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	Noon: Baltimore.						315	310	27	29.81	70	27	29	34	bc	cu st	2			
1898-01-01	13	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	14	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	15	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 																			
1898-01-01	16	39.20	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v429/mcculloch-v429_0028.JPG	 						315	310	27	29.88	65	28	30	34	bc	cu st	7			
