YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Amount	People	Ships	Other
1904-06-16	1	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49														
1904-06-16	2	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49														
1904-06-16	3	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49														
1904-06-16	4	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49		225	243	5	29.88	47			bc	cu	6			
1904-06-16	5	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49														
1904-06-16	6	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49														
1904-06-16	7	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49														
1904-06-16	8	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49		225	243	8	29.98	56			bc	cu	7			
1904-06-16	9	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	 			37.87	-122.49														
1904-06-16	10	37.87	-122.49			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-026/585454/2017-06/mcculloch-v441/mcculloch-v441_0007.JPG	1050: Got Underway			37.87	-122.49													Manning and Bear	
