YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	Amount	Ships
1915-07-01	1	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1292.JPG	 			37.859	-122.48											Top of Page: USS Cheyenne
1915-07-01	2	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	3	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	4	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48		0	0	0	30.08	57		oc	S Cu	10	
1915-07-01	5	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	6	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	7	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	8	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48		0	0	0	30.08	58			S	10	
1915-07-01	9	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	10	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	11	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	12	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	"Noon: Sausalito, CA"			37.859	-122.48		315	333	2	30.07	59		bc	Ci	3	
1915-07-01	13	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	14	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	15	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 			37.859	-122.48											
1915-07-01	16	37.86	-122.48			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	1650: Got Underway. stood through Golden Gate			37.859	-122.48		248	266	5	30.07	59		bc	Ci S	3	
1915-07-01	17	37.85	-122.47	888	43.2	1.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	1711: Lime Point 1736: Bonita Point cc WNW 1746: Gas buoy cc W3/8S					v	248	266	5	30.07						
1915-07-01	18	37.81	-122.64	888	50.6	8.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	1832: Duxbury Reef gas buoy cc W1/8S					v	248	266	5	30.07	58		ocf	Ci S	10	
1915-07-01	19	37.84	-122.83	268.59	59.9	9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/65/7021/23702165/content/dc-metro/rg-026/585454/0002/McCulloch-b1535/McCulloch-b1535_1291.JPG	 					W 1/8 S	248	266	2	30.07	58		ocz	Ci S	10	
