YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Other
1859-10-29	1	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	2	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	3	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	4	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	5	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	6	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	7	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	8	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	9	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													
1859-10-29	10	42.38	-71.05			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-01/581208-narragansett-001/581208-narragansett-001-004.JPG	 													1015: Went into Commission.
