YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People
1937-01-01	1	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	2	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	3	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	4	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34		360	23	5	30.10	33	32		b				50	
1937-01-01	5	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	6	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	7	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	8	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34		360	23	5	30.19	33	32		b				50	
1937-01-01	9	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	10	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
1937-01-01	11	47.59	-122.34			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/37/2845/7284537/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1727/26-159a-northland-b1727_005.jpg	 			47.59	-122.34														
