YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Index	Ice_Terms	Nav Terms	Ice_Log	URL_W	Note	Orig Lat	Orig Long	Orig Course	Orig URL
1940-08-06	12	40.7	-73.97								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_014.jpg	"Navy Yard, New York"	40.7	-73.97		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_014.jpg
1940-08-07	12	40.48	-70.78								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_016.jpg	 	40 29N	70 47W		16
1940-08-08	12	41.5	-68.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_017.jpg	 	41 30N	68 31W		17
1940-08-09	12	43.1	-61.72								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_018.jpg	 	43 06N	61 43W		18
1940-08-10	12	44.85	-57.35								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_019.jpg	 	44 51N	57 21W		19
1940-08-11	12	46.88	-52.62								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_020.jpg	 	46 53N	52 37W		20
1940-08-12	6	49.52	-50.05							6:15 Passed ice berg.	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_021.jpg	 	49 31N	50 03W		21
1940-08-12	12	50.32	-49.32								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_021.jpg	 	50 19N	49 19W		21
1940-08-12	17	51.23	-48.47							17:43 Passed ice berg.	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_021.jpg	 	51 14N	48 28W		21
1940-08-13	12	53.9	-45.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_022.jpg	 	53 54N	45 31W		22
1940-08-14	12	57.38	-41.73								https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_023.jpg	 	57 23N	41 44W		23
1940-08-15	8	59.2	-41.37	260		9.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59 12N	 41 22W	260	24
1940-08-15	9	59.23	-41.69	260		9.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.23	-41.69	260	24
1940-08-15	10	59.25	-42.01	260		9.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.25	-42.01	260	24
1940-08-15	11	59.28	-42.31	260		8.9					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.28	-42.31	260	24
1940-08-15	12	59.37	-42.63	280		9.6					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59 22N	 42 38W	280	24
1940-08-15	13	59.36	-43.02	270		10.4					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.36	-43.02	270	24
1940-08-15	14	59.39	-43.37	280		9.6					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.39	-43.37	280	24
1940-08-15	15	59.41	-43.7	280		8.9					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.41	-43.7	280	24
1940-08-15	16	59.43	-44.04	280		9.1				1610 - 1900 - Variou courses and speeds attempting to work through pack ice. 	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.43	-44.04	280	24
1940-08-15	17	59.45	-44.3	280		7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.45	-44.3	280	24
1940-08-15	18	59.46	-44.66	275		9.5					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.46	-44.66	275	24
1940-08-15	19	59.45	-44.88	270		5.4				"1900 - Set courses to 270o p.g.c. and true and speed to 90 rmp, being clear of pack ice."	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.45	-44.88	270	24
1940-08-15	20	59.45	-45.18	270		8					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59 27N	 45 11W	270	24
1940-08-15	21	59.47	-45.45	280		7.9					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.47	-45.45	280	24
1940-08-15	22	59.52	-45.77	290		10.1					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.52	-45.77	290	24
1940-08-15	23	59.59	-46.06	300		10					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.59	-46.06	300	24
1940-08-15	24	59.67	-46.35	300		10					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_024.jpg	 	59.67	-46.35	300	24
1940-08-16	1	59.77	-46.61	310		9.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	59.77	-46.61	310	25
1940-08-16	2	59.87	-46.87	310		9.9					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	59.87	-46.87	310	25
1940-08-16	3	59.96	-47.12	310		9.5					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	59.96	-47.12	310	25
1940-08-16	4	60.05	-47.35	310		8.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.05	-47.35	310	25
1940-08-16	5	60.11	-47.5	310		5.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.11	-47.5	310	25
1940-08-16	6	60.18	-47.27	56		8.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.18	-47.27	56	25
1940-08-16	7	60.27	-46.99	56		10.4				0712 - Entered pack ice. Slowed to various speeds and courses. 0730 - Came out of ice.	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.27	-46.99	56	25
1940-08-16	8	60.35	-47.3	300		10.3				"0855, commenced steering various courses at various speeds between Cape Thorvaldsen and Kekertat island standing toward Juianehaab through fields of floe ice."	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60 21N	 47 18W	300	25
1940-08-16	9	60.48	-47.46	340		10.9					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.48	-47.46	340	25
1940-08-16	10	60.59	-47.6	340		9.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.59	-47.6	340	25
1940-08-16	11	60.64	-47.7	340		5.6					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.64	-47.7	340	25
1940-08-16	12	60.6	-47.43	90		8.7				On approximate coure 90o pgc and true at 90 rpm varying course and speed as necessary to avoid heavy ice.	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60 36N	 47 26W	90	25
1940-08-16	13	60.59	-47.62	270		5.2					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.59	-47.62	270	25
1940-08-16	14	60.69	-47.54	20		7.6					https://s3.amazonaws.com/NARAprodstorage/opastorage/live//7284544/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/northland/b1734/26-159a-northland-b1734_025.jpg	 	60.69	-47.54	20	25
