YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Weather	Clouds	From	Amount	VisM	Ships
1950-01-01	1	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	2	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	3	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	4	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 						225	248	13	29.84	32	31	BC	SC	225	5	50	
1950-01-01	5	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	6	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	7	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	8	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 						180	203	13	29.86	32	30	O	Sc	180	10	20	
1950-01-01	9	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
1950-01-01	10	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/5/6531/23653105/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b642/Northwind-WAG-282-b642_0005.JPG	 																	
