YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships	Other
1951-01-01	1	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38																"0000-0900: Moored Port side to Berth one, Pier 90, U.S. Naval Receiving Station Seattle, Washington receiving fresh water and telephone service from the pier. Ship in operational status DOG BARILIEAUX WELLBORN S' (261-425) FN Held in ships brig for safe keeping. 0830 Inspected magazines and smokless powder samples, conditions dry and normal. all small arms accounted for. R.R.Pruett LTJG"	
1951-01-01	2	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38																	
1951-01-01	3	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38																	
1951-01-01	4	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38		135	158	2	30.09	42	42		o r	Ns		10	4				
1951-01-01	5	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38																	
1951-01-01	6	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38																	
1951-01-01	7	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38																	
1951-01-01	8	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38		158	180	2	30.07	44	43		o r	Ns	180	10	7				
1951-01-01	9	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38															"0900-1600: Moored as before. RRP 1045 ... expired for the first section no allsenties, granted liberty to the third section to ... on board at 0745 2 January 1951. 1110 LANSING JOHN G (276-169) RM3 returned on board under armed guard from Shore Patrol Duty. Reported in uniform and sober, under arrest for the following offences; Drinking intoxicants while in the performance of shore patrol duties; no I.D. Card in Posession. RR Pruett LTJG"		
1951-01-01	10	47.63	-122.38			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/6536/23653615/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b645/Northwind-WAG-282-b645_0005.JPG	 			47.629	-122.38																	
