YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM
1955-01-01	1	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	2	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	3	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	4	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713		180	201	5	29.88	46	46		c	sc		7	7
1955-01-01	5	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	6	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	7	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	8	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713		225	246	5	29.88	44	42		c	sc ac		7	7
1955-01-01	9	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	10	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	11	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	12	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	Noon: Albina Engine and Machine Works, Swan Island, Portland			45.561	-122.713		0	0	0	29.78	46	46		c	sc		8	7
1955-01-01	13	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	14	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	15	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	16	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713		0	0	0	29.79	44	44		c	sc ns		8	7
1955-01-01	17	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	18	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
1955-01-01	19	45.56	-122.71			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/60/6552/23655260/content/dc-metro/rg-026/559642/0002/Northwind-WAG-282-b741/Northwind-WAG-282-b741_0113.JPG	 			45.561	-122.713													
