YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	SeaT	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1873-01-01	1	-24.73	-43.89	208.12		4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	112	110	8	29.99	80	80	79	79		b	none					
1873-01-01	2	-24.81	-43.95	208.12		4.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	112	110	8	29.96	80	80	79	79		bc	cum	9				
1873-01-01	3	-24.89	-44	208.12		4.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	112	110	8	29.96	80	80	79	79		bc	cum nim	8				
1873-01-01	4	-24.97	-44.06	208.12		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	112	110	8	29.96	80	80	79	79		bc	cum nim	3				
1873-01-01	5	-25.04	-44.12	208.12		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	68	66	6	29.95	81	80	79	78		bc	cir cum cum nim	4				
1873-01-01	6	-25.13	-44.18	208.12		5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	68	66	8	29.95	81	81	80	78		bc	cir cum	5				
1873-01-01	7	-25.21	-44.23	208.12		4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	34	32	8	29.97	80	79	78	78		bc	cir cum	6				
1873-01-01	8	-25.28	-44.29	208.12		4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	34	32	8	30	81	79	79	78		bc	cir	8				
1873-01-01	9	-25.35	-44.34	208.12		4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					swxs1/2s	34	32	5	30.01	81	80	81	79		bc	cir	7				
1873-01-01	10	-25.44	-44.4	208.12		4.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-002/581208-omaha-002-138.JPG	 					ssw1/2w	34	32	5	30.02	81	80	80	79		bc	cir	8				
