YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other	Other
1889-01-01	1	31.23	121.50		 			https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						349	347	5	30.23	55	55	53		oc	cir cum	0				
1889-01-01	2	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						11	9	10	30.24	54	54	53		oc	cir cum	0				
1889-01-01	3	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						11	9	10	30.26	53	53	51		oc	cir cum	0				
1889-01-01	4	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						11	9	13	30.26	51	53	51		oc	cir cum	0				
1889-01-01	5	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						360	358	13	30.25	51	53	51		oc	nimb	0				
1889-01-01	6	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						360	358	8	30.28	51	54	51		oc	nimb	0				
1889-01-01	7	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						22	20	8	30.28	54	53	51		oc	nimb	0				
1889-01-01	8	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						22	20	8	30.30	53	54	51		oc	nimb	0				
1889-01-01	9	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						22	20	8	30.32	54	54	51		oc	nimb	0				
1889-01-01	10	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						22	20	8	30.32	55	55	51		oc	nimb	0				
1889-01-01	11	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						56	54	8	30.30	55	55	51		oc	nimb	0				
1889-01-01	12	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	"Noon: Shanghai, China."						45	43	8	30.30	55	54	51		bc	cum	2				
1889-01-01	13	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						360	358	8	30.26	55	55	52		oc	cum	0				
1889-01-01	14	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						360	358	8	30.26	56	56	52		oc	cum	0				
1889-01-01	15	31.23	121.50		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-028/581208-omaha-028-070.JPG	  						360	358	8	30.27	56	55	52		oc	cum	0				
