YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other
1890-01-01	1	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						326	322	2	30.13	50	47	45		bc	cir cum	4			
1890-01-01	2	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	2	30.15	50	47	45		bc	cir cum	2			
1890-01-01	3	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	2	30.16	50	47	45		bc	cir cum	2			
1890-01-01	4	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	2	30.15	50	47	45		bc	cir cum	2			
1890-01-01	5	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	2	30.14	49	47	44		bc	cir cum	2			
1890-01-01	6	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	2	30.15	49	47	44		bc	cir cum	4			
1890-01-01	7	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	8	30.19	49	47	43		bc	cir str	4			
1890-01-01	8	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	5	30.20	48	47	43		bc	cir str	2			
1890-01-01	9	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	5	30.20	50	47	43		bc	cir cum	5			
1890-01-01	10	35.46	139.66		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-omaha-030/581208-omaha-030-081.JPG	 						360	356	5	30.20	50	49	44		bc	cir cum	5			
