YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	People	Ships	Other
1942-05-22	1	48.04	-122.63	323		7.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0207.JPG	0104: Bush Pt. ats.  0110 cc 339 pgc  0115 cc 334 pgc 0137 Marrowstone Pt. atp.  0140 cc 316 pgc  0156 cc 305 pgc			48.04	-122.63	323	315	338	8	29.80	55	54	51	bc	SC		7	20				
1942-05-22	2	48.15	-122.72	326		7.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	0205: cc 280 pgc  0211 Pt. Wilson atp.			48.15	-122.72	326	315	338	19	29.81	53	52	51	bc	SC		7	20				
1942-05-22	3	48.18	-122.94	280		8.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	0340: New Dungeness Lt. atp. 			48.176	-122.939	280	315	338	19	29.81	52	50	50	bc	SC		8	20				
1942-05-22	4	48.2	-123.14	280		8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	 			48.2	-123.14	280	315	338	19	29.81	52	51	50	bc	BC		7	20				
1942-05-22	5	48.16	-123.39	280		9.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	"0500: Stopped engines, drifting off entrance to Port Angeles Harbor 0515 Underway cc var.  cc 283 T "			48.16	-123.39	280	315	338	19	29.82	51	51	50	c	NS	315	8	20				
1942-05-22	6	48.17	-123.49	283		4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	 			48.174	-123.492	283	292	316	19	29.83	51	51	50	c	AC	315	8	20				
1942-05-22	7	48.21	-123.72	283		9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	0701: Crescent Bay LBB 2 atp dist. 1.8 mi.			48.208	-123.716	283	292	316	19	29.84	51	51	49	c	AC	315	7	20				
1942-05-22	8	48.24	-123.91	283		7.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	0835: Sheringham Pt. ats. dist. 5.9 mi.			48 14.2N	123 54.8W	283	315	338	19	29.84	51	51	50	c	AC	315	6	20				
1942-05-22	9	48.27	-124.08	287		6.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	0952: Ship Pt. atp. dist. 3.7 mi. 0955 cc 304 T and gyro			48.27	-124.076	287	315	338	19	29.88	52	52	50	c	AC	292.5	6	20				
1942-05-22	10	48.31	-124.25	288		7.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/51/4299/24429951/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1942/Onondaga-WPG-79-1942_0206.JPG	1042: cc var			48.309	-124.252	288	315	338	13	29.90	52	52	50	om	NS	292.5	10	7				
