YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Ships	Other
1945-01-01	1	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	": Dock #9, Adak, Alaska"																		
1945-01-01	2	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 																		
1945-01-01	3	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 																		
1945-01-01	4	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 						270	5	29.44	32			c	oc-ac		8	4		
1945-01-01	5	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 																		
1945-01-01	6	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 																		
1945-01-01	7	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 																		
1945-01-01	8	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 						225	5	29.54	32			bc	cc-ci		2	7		
1945-01-01	9	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 																		
1945-01-01	10	51.86	-176.64			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/34/4315/24431534/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1945/Onondaga-WPG-79-1945_0005.JPG	 																		
