YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1946-01-01	1	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	"Ocean Dock, Cordova"																				
1946-01-01	2	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	3	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	4	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 						360	28	5	29.00	42			or	ns		10	4			
1946-01-01	5	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	6	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	7	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	8	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 						180	208	8	28.90	41			or	ns		10	4			
1946-01-01	9	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	10	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	11	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
1946-01-01	12	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	Noon: Cordova			60 35N	145 45W		270	298	5	28.87	44			or	ns		10	4			
1946-01-01	13	60.55	-145.77			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/4319/24431990/content/dc-metro/rg-026/587169/0001-A1/Onondaga-WPG-79-1946/Onondaga-WPG-79-1946_0006.JPG	 																				
