YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Ships
1930-09-01	1	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0534.JPG	 			31.196	121.484		0	0	0	29.84	78	78	76		or	nb	315	10	10	
1930-09-01	2	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		0	0	0	29.86	78	78	76		or	nb	315	10	10	
1930-09-01	3	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		0	0	0	29.86	77	77	75		or	nb	315	10	10	
1930-09-01	4	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		0	0	0	29.87	76	76	75		od	nb	315	10	10	
1930-09-01	5	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		360	357	2	29.87	76	76	75		oz	st		10	10	
1930-09-01	6	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		360	357	2	29.87	76	76	75		oz	st		10	10	
1930-09-01	7	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		360	357	2	29.9	78	78	76		oz	st		10	10	
1930-09-01	8	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		360	357	2	29.92	79	79	76		oz	st		10	10	
1930-09-01	9	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		360	357	2	29.92	78	78	76		p	cunb		10	10	
1930-09-01	10	31.2	121.48			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/panayii-b02of07/panayii-b02of07_0533.JPG	 			31.196	121.484		360	357	2	29.94	78	79	79		p	cunb		10	10	
