YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Flora&Fauna	People	Other
1859-05-04	1	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	2	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	3	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	4	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	5	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	6	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	7	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	8	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	9	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
1859-05-04	10	43.08	-70.74			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-portsmouth-014/581208-portsmouth-014-004.JPG	 															
