YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Index	Ice_Terms	Nav Terms	Ice_Log	URL_W	Note	Orig Lat	Orig Long	Orig Course	Orig URL
1900-05-25	12	48.08	-122.76								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0035.JPG	Port Townsend	48.08	-122.76		35
1900-05-26	12	48.38	-124.61								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0036.JPG	Neah Bay	48.38	-124.61		36
1900-05-27	12	48.92	-127.88								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0037.JPG		48 55 21N	127 52 51W		37
1900-05-28	12	49.79	-132.68								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0038.JPG		49 47 17N	132 40 32W		38
1900-05-29	12	50.58	-137.30								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0039.JPG		50 35 00N	137 18W		39
1900-05-30	12	51.25	-141.69								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0040.JPG		51 15 01N	141 41 22W		40
1900-05-31	12	51.80	-146.32								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0041.JPG		51 48 13N	146 19 19W		41
1900-06-01	12	52.46	-151.82								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0042.JPG		52 27 43N	151 49 19W		42
1900-06-02	12	53.14	-156.52							"No ice reported this year. Spent most of the time, except a visit to Nome, in the Aleutian Islands."	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0043.JPG		53 08 27N	156 31 03W		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0043.JPG
1900-06-03	12	53.42	-161.33								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0044.JPG		53 25 20N	161 19 42W		44
1900-06-04	12	54.28	-165.79								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0045.JPG	Akutan N.E. Head SW1/2S 61/2 miles.	54.28	-165.79		45
1900-06-05	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0046.JPG	Dutch Harbor	53.90	-166.52		46
1900-06-06	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0047.JPG	Dutch Harbor	53.90	-166.52		47
1900-06-07	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0048.JPG	Dutch Harbor	53.90	-166.52		48
1900-06-08	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0049.JPG	Dutch Harbor	53.90	-166.52		49
1900-06-09	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0050.JPG	Dutch Harbor	53.90	-166.52		50
1900-06-10	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0051.JPG	Dutch Harbor	53.90	-166.52		51
1900-06-11	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0052.JPG	Dutch Harbor	53.90	-166.52		52
1900-06-12	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0053.JPG	Dutch Harbor	53.90	-166.52		53
1900-06-13	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0054.JPG	Dutch Harbor	53.90	-166.52		54
1900-06-14	12	53.90	-166.52								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0055.JPG	Dutch Harbor	53.90	-166.52		55
1900-06-15	12	53.85	-170.50								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0056.JPG		53 51N	170 30W		56
1900-06-16	12	53.41	-175.96								https://s3.amazonaws.com/NARAprodstorage/opastorage/live/4/4219/24421904/content/dc-metro/rg-026/585454/0001-A1/Rush-v526-smooth/Rush-v526-smooth_0057.JPG		53 24 53N	175 57 35W		57
