YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Index	Ice_Terms	Nav Terms	Ice_Log	URL_W	Note	Orig Lat	Orig Long	Orig Course	Orig URL
1901-05-27	12	48.08	-122.76			0.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0012.JPG	Port Townsend	48.08	-122.76		12
1901-05-28	12	49.58	-124.88			123.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0013.JPG	Union Bay	49.58	-124.88		13
1901-05-29	12	50.58	-126.92			98.9					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0014.JPG	Off Cormorant Island	50.58	-126.92		14
1901-05-30	12	51.77	-128.03			82.7					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0015.JPG	Off Nalau Island	51.77	-128.03		15
1901-05-31	12	52.16	-128.14			23.8					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0016.JPG	Bella Bella	52.16	-128.14		16
1901-06-01	12	53.06	-128.55			56.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0017.JPG	Graham Reach	53.06	-128.55		17
1901-06-02	12	53.83	-130.02			70.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0018.JPG	Stuart Anchorage	53.83	-130.02		18
1901-06-03	12	53.83	-130.02			0.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0019.JPG	Stuart Anchorage	53.83	-130.02		19
1901-06-04	12	57.21	-135.76			281.4					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0020.JPG	Point Amelia WSW1/4W 3.75 miles	57.21	-135.76		20
1901-06-05	12	57.05	-135.33			17.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0021.JPG	Sitka	57.05	-135.33		21
1901-06-06	12	57.05	-135.33			0.0				"They spent the entire time in the Alaskan Panhandle. A few bits of ice seen, I suspect it was from glaciers."	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0020.JPG	Sitka	57.05	-135.33		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0020.JPG
1901-06-07	12	58.3	-134.42			80.5					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0021.JPG	Juneau	58.3	-134.42		21
1901-06-08	12	58.2	-135.1			22.3				They passed fields of floating ice from Glacier Bay around 7 A.M. I'm considering this to be glacial ice.	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0022.JPG	Swanson Harbor	58.2	-135.1		22
1901-06-09	12	59.56	-142.52			244.3					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0023.JPG		59 33 35N	142 31 07W		23
1901-06-10	12	61.07	-146.67			153.1					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0024.JPG	Stanton Narrows	61.07	-146.67		24
1901-06-11	12	61.09	-146.4			7.9					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0025.JPG	Swanport	61.09	-146.4		25
1901-06-12	12	61.09	-146.4			0.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0026.JPG	Swanport	61.09	-146.4		26
1901-06-13	12	60.33	-146.6			46.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0027.JPG	Port Etches	60.33	-146.6		27
1901-06-14	12	60.58	-145.72			30.1					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0028.JPG	Orca	60.58	-145.72		28
1901-06-15	12	60.58	-145.72			0.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0029.JPG	Orca	60.58	-145.72		29
1901-06-16	12	60.33	-146.6			30.1					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0030.JPG	Port Etches	60.33	-146.6		30
1901-06-17	12	60.33	-146.6			0.0					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0031.JPG	Port Etches	60.33	-146.6		31
1901-06-18	12	59.64	-147.96			58.2					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/15/4222/24422215/content/dc-metro/rg-026/585454/0001-A1/Rush-v528/Rush-v528_0032.JPG	Cape Cleare NxW1/2W 8 miles	59.64	-147.96		32
