YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1923-01-01	1	6.93	121.92	119	63.9	7.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	0010: 0010 Little Santa Cruz Light one point on port bow distant about 15 miles 1214 cc 119 T 1230 Zamboanga Light 105 T					v	360	2	2	30.08		79	79	85	c	cis	360	8				
1923-01-01	2	6.90	122.06	888		8.0		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	0202: Anchored. Little Santa Cruz Light 240 Zamboanga Light 75 					v	360	2	2	30.06		78	78	85	c	acu	360	9				
1923-01-01	3	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					30	360	2	2	30.06		78	78		c	acu	360	8				
1923-01-01	4	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					85	360	2	2	30.05		78	79		cr	acu	360	8				
1923-01-01	5	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					104	360	2	1	30.11		76	76		b	cun	360	9				
1923-01-01	6	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					103	11	13	1	30.11		76	76		bc	cicu	360	8				
1923-01-01	7	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					109	11	13	1	30.13		77	77		bc	cicu	360	7				
1923-01-01	8	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					104	0	0	0	30.13		80	80		c	cis	360	9				
1923-01-01	9	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					106	45	47	2	30.11		85	82		c	cis	45	8				
1923-01-01	10	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					45	45	47	2	30.11		87	85		c	cicu	45	8				
1923-01-01	11	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					295	90	92	2	30.09		89	87		c	cicu	90	9				
1923-01-01	12	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					285	270	272	2	30.09		89	89		c	cicu	270	9				
1923-01-01	13	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					285	270	272	2	30.07		88	88		c	scu	270	8				
1923-01-01	14	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					285	270	272	2	30.05		87	87		c	scu	270	7				
1923-01-01	15	6.90	122.06			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_008.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/57/93/29009357/content/hub/2016-05/USS_Sacramento_01011923_to_02281923/USS_Sacramento_01011923_to_02281923_009.jpg	 					157	270	272	5	30.03		84	85		c	scu	270	7				
