YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	Kts	Baro	Dry	Wet	Water	SeaT	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1924-01-01	1	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	"01: Moored to dock in Iloilo River, Iloilo, Panay, P.I., opposite British Vice Consulate. 01: Iloilo, P.I."			10.69	122.59		45	2	30.01	75	76			bc	scu	45	5				
1924-01-01	2	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		45	2	30.01	75	76			bc	scu	360	5				
1924-01-01	3	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		45	2	30.01	75	76			bc	scu	360	5				
1924-01-01	4	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		45	2	30.01	75	76			bc	scu	360	5				
1924-01-01	5	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		23	5	30.01	76	74			c	scu	360	10				
1924-01-01	6	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		23	5	30.01	75	74			c	scu	360	10				
1924-01-01	7	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		23	5	30.01	76	75			c	scu	360	8				
1924-01-01	8	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		23	2	30.01	80	77			c	scu	360	8				
1924-01-01	9	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		23	2	30.00	81	77			c	scu	360	7				
1924-01-01	10	10.69	122.59		 	a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_010.jpg	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/82/101/29010182/content/hub/2016-05/USS_Sacramento_01011924_to_02291924/USS_Sacramento_01011924_to_02291924_011.jpg	 			10.69	122.59		23	2	30.00	82	76			c	scu	360	7				
