YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	 Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Ships	Other
1865-01-01	1	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13		31		o		
1865-01-01	2	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13		30		o		
1865-01-01	3	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13		30		c		
1865-01-01	4	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13	30.33	30		c		
1865-01-01	5	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13				c		
1865-01-01	6	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13				c		
1865-01-01	7	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13				c		
1865-01-01	8	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13				c		
1865-01-01	9	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	0900: Got Underway						338	338	13		28		bc		
1865-01-01	10	34.68	-76.86	888		9.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	"1000: Anchored. Off Fort Macon   34.69, -76.86"			34.69	-76.86	v	338	338	13		33		bc		
1865-01-01	11	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						315	315	13		35		bc		
1865-01-01	12	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	Noon: Beaufort						315	315	8	30.55	33		bc		
1865-01-01	13	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	13		33		bc		
1865-01-01	14	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	8				bc		
1865-01-01	15	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	8	30.63	33		bc		
1865-01-01	16	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	8				bc		
1865-01-01	17	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2		31		bm		
1865-01-01	18	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2	30.63			bm		
1865-01-01	19	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2				bm		
1865-01-01	20	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2	30.63			bm		
1865-01-01	21	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2		29		bz		
1865-01-01	22	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2				bz		
1865-01-01	23	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2		30		b		
1865-01-01	24	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-097.JPG	 						338	338	2	30.63			b		
1865-01-02	1	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-098.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-098.JPG	 						304	304	5		31		b		
1865-01-02	2	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-098.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-098.JPG	 						304	304	8		30		b		
1865-01-02	3	34.68	-76.86			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-098.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-002/581208-shenandoah-002-098.JPG	 						281	281	5				b		
