YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Long	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Flora&Fauna	People	Ships	Other
1866-01-01	1	35.76	-45.38	95.62		9.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	"0100: 35.76,-45.38"					e1/2s	248	228	19		67	67	cr				
1866-01-01	2	35.80	-45.17	95.62		10.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	248	228	19		67	67	cr				
1866-01-01	3	35.83	-44.96	95.62		9.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	23	3	19		67	67	qr5				
1866-01-01	4	35.86	-44.78	95.62		8.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	360	340	19	30.20	67	67	qr5				
1866-01-01	5	35.89	-44.59	95.62		9.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	360	340	24		62	62	oq				
1866-01-01	6	35.91	-44.42	95.62		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	360	340	24	30.26	62	62	oq				
1866-01-01	7	35.94	-44.25	95.62		7.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	23	3	19		60	60	oq				
1866-01-01	8	35.95	-44.08	101.25		7.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					exs	23	3	19	30.36	60		oq				
1866-01-01	9	35.96	-43.92	101.25		7.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					exs	360	340	30		59		c				
1866-01-01	10	35.99	-43.75	95.62		7.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	360	340	37	30.36	59	65	c				
1866-01-01	11	36.02	-43.58	95.62		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					e1/2s	360	340	37		59		c				
1866-01-01	12	36.03	-43.45	95.62		5.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 			36 2N	43 27W	e1/2s	360	340	37	30.36	59	65	c				
1866-01-01	13	36.03	-43.30	106.88		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					exs1/2s	23	3	30		60		c				
1866-01-01	14	36.03	-43.16	104.06		7.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					exs1/4s	23	3	30		60	65	c				
1866-01-01	15	36.03	-43.03	104.06		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-004/581208-shenandoah-004-025.JPG	 					exs1/4s	23	3	30		60		c				
