YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	Dir	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other
1874-01-01	1	18.69	-39.49	287		7.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	45	19	29.85		75	73		bcl	cum nim	5		
1874-01-01	2	18.70	-39.61	287		7.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	45	19	29.84		75	73		bcp	cum nim	5		
1874-01-01	3	18.71	-39.73	287		7.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	45	19	29.83		75	73		bcp	cum nim	2		
1874-01-01	4	18.72	-39.83	287		6.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	45	19	29.82		75	73		bcp	cum nim	1		
1874-01-01	5	18.73	-39.94	287		6.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	45	13	29.80		75	73		bcp	cum nim	1		
1874-01-01	6	18.74	-40.02	287		5.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	68	13	29.80		74	73		bcp	cum nim	1		
1874-01-01	7	18.75	-40.13	287		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	68	13	29.80		74	73		bcp	cum nim	1		
1874-01-01	8	18.75	-40.23	287		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	68	13	29.82		74	73		bcp	cum nim	1		
1874-01-01	9	18.76	-40.30	287		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	68	13	29.86		75	74		bcp	cum nim	3		
1874-01-01	10	18.77	-40.39	287		5.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-028/581208-shenandoah-028-051.JPG	 					wnw1/2w	68	13	29.85		75	76		bcp	cum nim	2		
