YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	Ships	Other
1886-01-01	1	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		45	59	5	30.02	63	60	58		bm	nim	10			
1886-01-01	2	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		45	59	5	30.00	63	60	58		bm	nim	10			
1886-01-01	3	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		45	59	2	30.00	63	60	58		bm	nim	10			
1886-01-01	4	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		90	104	2	30.00	61	59	57		bm	nim	10			
1886-01-01	5	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		0	0	0	30.00	61	59	57		omf	cum str	0			
1886-01-01	6	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		0	0	0	30.00	60	59	57		omf	cum str	0			
1886-01-01	7	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		315	329	2	30.02	60	60	58		omf	cum str	0			
1886-01-01	8	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		315	329	2	30.02	60	60	58		bcm	cum str	9			
1886-01-01	9	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		315	329	5	30.02	61	61	58		bcm	cir	9			
1886-01-01	10	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		315	329	2	30.04	63	63	60		bm	none	10			
1886-01-01	11	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		45	59	5	30.05	65	65	61		bm	none	10			
1886-01-01	12	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	"Noon: Coquimbo, Chile."			-29.95	-71.33		45	59	5	30.05	65	66	62		bm	none	10			
1886-01-01	13	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		360	14	2	30.02	65	68	64		b	none	10			
1886-01-01	14	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		360	14	2	30.02	65	68	64		b	none	10			
1886-01-01	15	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		23	37	5	30.02	66	68	64		b	none	10			
1886-01-01	16	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		315	329	5	29.97	67	69	64		b	none	10			
1886-01-01	17	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		191	205	2	29.95	67	70	65		bm	none	10			
1886-01-01	18	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		191	205	2	29.94	67	70	65		bm	none	10			
1886-01-01	19	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		45	59	5	29.93	65	68	63		bm	none	10			
1886-01-01	20	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		45	59	5	29.92	65	65	63		bm	none	10			
1886-01-01	21	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		68	82	5	29.94	64	63	62		b	none	10			
1886-01-01	22	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		68	82	5	29.95	64	63	61		b	none	10			
1886-01-01	23	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		68	82	5	29.95	64	63	61		b	none	10			
1886-01-01	24	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-069.JPG	 			-29.95	-71.33		68	82	5	29.95	64	63	61		b	none	10			
1886-01-02	1	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		169	183	2	29.95	64	63	61		bcm	cir cum	9			
1886-01-02	2	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		169	183	2	29.95	64	63	61		bcm	cir cum	9			
1886-01-02	3	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		0	0	0	29.95	64	63	61		bcm	cir cum	8			
1886-01-02	4	-29.95	-71.33			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-shenandoah-038/581208-shenandoah-038-070.JPG	 			-29.95	-71.33		0	0	0	29.95	63	60	59		bcm	cir cum	7			
