YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Flora&Fauna	Ships
1933-04-18	1	53.38	-129.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	0100: Anchored. Coghlan Anchorage. Brgs: Observation Pt 210; Thom Pt 154.																			
1933-04-18	2	53.38	-129.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	3	53.38	-129.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	4	53.38	-129.27			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	0428: Got Underway. cc var up Grenville Channel and lthen up Arthur Passage.						0	0	0	30.08	44	42		od	n	247.5	10	20		
1933-04-18	5	53.42	-129.42	310		7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 					310	248	276	2	30.08	44	41	44	om	cu-n	247.5	10	7		
1933-04-18	6	53.62	-129.72	310		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 					310	248	276	2	30.10	40	38	42	or	n	225	10	7		
1933-04-18	7	53.82	-129.99	318		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 					318	180	208	2	30.10	40	38	42	o	cu-n	180	10	7		
1933-04-18	8	54	-130.22	346		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	0837: cc 326					346	135	163	2	30.10	42	40	42	o	cu-n	180	10	7		
1933-04-18	9	54.22	-130.45	326		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 					326	135	163	2	30.10	43	41	42	o	cu-n	180	10	20		
1933-04-18	10	54.45	-130.57	345		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 					345	135	163	2	30.10	51	46	42	o	s-cu	180	10	20		
1933-04-18	11	54.67	-130.81	321		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	1140: Tree Pt ats cc 341					321	135	163	2	30.12	48	44	42	o	s-cu	180	10	20		
1933-04-18	12	54.87	-131.02	341		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 			54 52N	131 1W	341	135	163	2	30.12	48	44	42	om	n	180	10	20		
1933-04-18	13	55.09	-131.13	341		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 					341	135	163	2	30.12	44	40	42	om	n	180	10	7		
1933-04-18	14	55.25	-131.47	318		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	"1450: Moored. Alaska Steamship Dock, Ketchikan"					318	135	163	2	30.14	45	42	42	or	n	225	10	7		
1933-04-18	15	55.34	-131.65	318		8.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 					v	135	163	2	30.14	45	42	42	or	n	225	10	7		
1933-04-18	16	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 						135	163	5	30.14	44	42		or	n	180	10	7		
1933-04-18	17	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	18	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	19	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	20	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 						135	163	5	30.15	43	41		or	n	180	10	7		
1933-04-18	21	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	22	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	23	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 																			
1933-04-18	24	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0522.JPG	 						180	208	0	30.20	44	42		or	n	135	10	7		
1933-04-19	1	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	 																			
1933-04-19	2	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	 																			
1933-04-19	3	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	 																			
1933-04-19	4	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	 						135	163	5	30.24	43	42		or	n	180	10	7		
1933-04-19	5	55.34	-131.65			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23666704/content/dc-metro/rg-026/585454/0002/Shoshone-b2200/Shoshone-b2200_0523.JPG	 																			
