YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships	Other
1934-06-27	1	52.42	-128.45	350		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	 					350	315	342	2	30.35	54	51	54	bc	s cu	315	2	7			
1934-06-27	2	52.67	-128.54	5		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	 					5	315	342	2	30.35	53	50	54	bc	s cu	315	4	7			
1934-06-27	3	52.92	-128.51	355		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	 					355	315	342	2	30.35	52	50	50	bc	s cu	315	9	7			
1934-06-27	4	53.16	-128.64	284		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	0400: As before on course 355. 0405 cc 311. 0427 Waterfall abm. 0437 cc 323. 0448 Kingcombe Lt abm cc 278.					284	315	342	2	30.35	52	49	52	bc	s cu	315	3	7			
1934-06-27	5	53.31	-128.99	278		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	"0510: Trivet Pt abm cc 261. 0525 Pt Cumming abm, cc 297."					278	315	342	2	30.35	52	50	52	bc	s cu	315	8	7			
1934-06-27	6	53.38	-129.34	289		15.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	"0600: Yolk Pt Beacon abm, cc 317."					316	315	342	2	30.35	54	50	54	bc	s cu	315	10	20			
1934-06-27	7	53.54	-129.6	316		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	"0726: Mountain Pt abm, cc 321. 0744 Klewnuggit Lt abm. 0756 Granite Bluff abm, cc 320."					316	315	342	2	30.35	54	50	54	bc	a cu	315	10	20			
1934-06-27	8	53.72	-129.83	319		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	0843: CC 309			53 43N	129 50W	320	315	342	2	30.35	54	52	52	bc	a cu	315	10	20			
1934-06-27	9	53.9	-130.12	317		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	"0900: cc 302. 0909 Watson Rock Lt ats, dist 0.5 mi, cc 345. 0934 cc 329. 0948 Bamfield Id Beacon atp, dist 0.5 mi, cc 303."					302	315	342	2	30.36	54	52	50	c	a cu	315	9	20			
1934-06-27	10	54.09	-130.34	327		14.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	"1001: Lawyer Id Lt ats, dist 0.8 mi, cc 326. 1059 Lucy Id Lt atp, dist 1.0 mi; cc 345."					303	315	342	2	30.36	55	52	54	c	a cu	315	9	20			
1934-06-27	11	54.3	-130.58	326		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	"1153: Whitesand Id atp, dist 2.0 mi, cc 335."					345	315	342	2	30.36	55	52	54	c	a cu	315	8	20			
1934-06-27	12	54.53	-130.7	344		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	1245: Crossed International Boundary Line. 			54 32N	130 42W	335	315	342	2	30.36	56	52	54	c	a cu	315	8	20			
1934-06-27	13	54.71	-130.93	320		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	 					320	315	342	2	30.36	56	52	54	c	a cu	315	8	20			
1934-06-27	14	54.94	-131.03	341		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	 					341	315	342	2	30.36	62	56	54	c	a cu	315	8	20			
1934-06-27	15	55.15	-131.19	331		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	 					331	315	342	2	30.35	63	57	54	c	a cu	315	9	20			
1934-06-27	16	55.29	-131.56	888		15.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	" 1620: Moored. City dock, Ketchikan."					v	315	342	2	30.35	59	53	54	o	a cu	315	10	20			
1934-06-27	17	55.33	-131.63	888		4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live//23667281/content/dc-metro/rg-026/585454/0002/Shoshone-b2201/Shoshone-b2201_0515.JPG	 																				
