YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Ships
1935-07-08	1	52.78	-128.54	337		12.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0413.JPG	0105: cc 9. 0159 cc 357.					11	225	253	5	30.06	56	53	52	c	ci cu	225	8	20	
1935-07-08	2	52.99	-128.52	9		14.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	"0216: cc 344. 0241 Aaltanhash Inlet aats, cc 324. 0250 Red Cliff Pt atp cc 286. 0258 Entereed Fraser Reach, cc 311."					355	225	253	5	30.06	56	54	52	of	s	225	10	4	
1935-07-08	3	53.17	-128.69	336		13.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	"0325: cc 322. 0345 Kingcome Pt atp dist 1/2 mi, cc 279."					286	90	118	5	30.06	56	53	54	of	s cu	225	10	7	
1935-07-08	4	53.31	-129.01	307		13.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	"0405: cc 261. 0418 Point Cumming (?) abm, cc 297. 0442 cc 303. 0450 Waterman Pt abm, cc 317."					279	270	298	5	30.06	56	54	54	of	s cu	225	10	7	
1935-07-08	5	53.4	-129.38	292		14.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	 					317	270	298	5	30.06	55	53	54	oc	S-cu	225	10	7	
1935-07-08	6	53.56	-129.64	317		14.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	0650: cc 331. (This may be 0550. His times are out of order.) 0632 Klewnuggett Lt abm cc 328. 0643 Granite Cliff abm cc 317.					317	270	298	5	30.06	54	53	52	oc	S-cu	225	10	7	
1935-07-08	7	53.76	-129.9	319		15.5		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	"0745: Pt Calvert abm, cc 300. 0755 Watson Rock Lt abm, cc 348."					315	270	298	5	30.06	54	53	52	oc	S-cu	225	10	7	
1935-07-08	8	53.93	-130.18	317		14.9		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	"0815: cc 350. 0820 Herbert Reef Lt atp close, cc 329. 0835 cc 303. 0840 Genn Id Lt ats dist 1 mi. 0850 Lawyer Id Lt ats dist 3/4 mi cc 326"			53 56N	130 11W	348	270	298	5	30.06	54	53	52	oc	S-cu	225	10	7	
1935-07-08	9	54.14	-130.4	329		15.2		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	"0903: Holland Is Lt ats dist 2.4 mi. 0935 cc 336. 0945 Lucy Is Lt atp dist 1 mi, cc 345"					326	270	298	2	30.06	55	52	56	oz	S-cu	225	10	7	
1935-07-08	10	54.37	-130.61	332		16		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/81/6678/23667881/content/dc-metro/rg-026/585454/0002/Shoshone-b2202/Shoshone-b2202_0412.JPG	1018: cc 348. 1030 cc 345. 1045 cc 340. 1052 Green Id Lt ats dist 0.3 mi cc 351					345	225	253	1	30.06	56	53	56	oz	S-cu	225	10	7	
