YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	People	Ships
1940-04-26	1	52.71	-128.56	888		13.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0253.JPG	 					v	360	27	5	29.89	47	46		ce	as	315	8	20		
1940-04-26	2	52.93	-128.51	888		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	0218: Swanson Bay abm dist 0.2 mi.					v	360	27	5	29.88	47	46		ce	as	315	9	7		
1940-04-26	3	53.15	-128.61	888		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	0304: Redcliff Lt close aboard.					v	0	0	0	29.88	47	46		ce	as	315	6	7		
1940-04-26	4	53.3	-128.89	888		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	"0400: cc 320. 0403 Kincome Pt Lt atp, dist 1 mi cc 278. 0415 cc 258. 0437 Cumming Pt Lt ats, dist 0.4 mi, cc 270."					v	315	342	2	29.86	47	46		ce	as	315	9	7		
1940-04-26	5	53.34	-129.25	269		13.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	"0513: Yolk Pt beacon atp dist 0.5 mi, cc to mid-channel courses."					296	270	297	2	29.87	48	46		oz	as	315	10	7		
1940-04-26	6	53.49	-129.52	315		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 					315	270	297	2	29.87	48	47		od	as	315	10	7		
1940-04-26	7	53.65	-129.75	330		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	0716: Klewnuggit Inlet Light ats					330	270	297	2	29.87	48	46		oz	as	315	10	7		
1940-04-26	8	53.79	-129.94	312		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	0851: With Watson Rock Lt ats entered Arthur Passage.			52 50N	129 50W	312	270	297	5	29.89	48	46		oz	as	315	10	7		
1940-04-26	9	53.96	-130.18	345		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	0920: Passed Herbert Reefs Beacon close to starboard. 0937 Bamfield Is beacon close to port. 0950 Lawyer Id ats cc 326.					345	315	342	2	30.09	46	44		oz	st	315	10	20		
1940-04-26	10	54.16	-130.37	342		13.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	1053: Lucy Id atp cc 345.					326	315	342	2	30.09	48	45		oz	st	315	10	20		
1940-04-26	11	54.35	-130.59	328		13.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	1115: Hodgson Reefs lighted buoy ats dist 2.5 mi. 1154 cc 335.					345	315	342	2	29.89	49	46		oz	st	315	10	20		
1940-04-26	12	54.57	-130.73	344		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	"1206: Green Id Lt abm dist 0.3 mi, cc 347. 1222 Halliday Id Lt abm dist 0.5 mi, cc 321. 1251 Lord Rock Lt abm dist 0.8 mi."			54 34N	130 44W	335	315	342	2	29.89	52	49		oz	st	315	10	20		
1940-04-26	13	54.75	-130.89	329		13.4		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	1345: Tree Pt Lt abm dist 0.8 mi					321	315	342	2	29.89	52	49		oz	f s	315	10	7		
1940-04-26	14	54.87	-131.02	321		9.8		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 					321	315	342	5	29.87	54	51		oz	f s	315	10	7		
1940-04-26	15	55.08	-131.11	341		13.7		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	"1505: Pt Wilson Lt atp, cc 329. 1520 Twin Id abm dist 0.5 mi, cc 313. 1537 Hogg Rocks Lt atp cc 299."					341	315	342	2	29.87	51	48		o	a s	315	10	7		
1940-04-26	16	55.22	-131.34	314		13.3		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	"1604: Angle Pt Lt ats dist 0.4 mi, cc 318. 1617 Spire Id Lt abm cc 296. 1630 cc var thru Tongas Narrows."					299	315	342	2	29.83	50	48		o	a s	315	10	7		
1940-04-26	17	55.32	-131.61	301		12.6		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	"1710: Moored. Coast Guard Dock, Ketchikan."					v	315	342	2	29.86	50	48		o	a s	315	10	7		
1940-04-26	18	55.33	-131.63	888		1.1		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 					v														
1940-04-26	19	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 																			
1940-04-26	20	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 						45	72	2	29.89	52	48		o	a s	45	10	20		
1940-04-26	21	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 																			
1940-04-26	22	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 																			
1940-04-26	23	55.33	-131.63			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/90/6688/23668890/content/dc-metro/rg-026/585454/0002/Shoshone-b2204/Shoshone-b2204_0252.JPG	 																			
