YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	From	Amount	VisM	Other
1948-01-01	1	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	2	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	3	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	4	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57		0	0	0	29.94	38	38		o	SC		10	20	
1948-01-01	5	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	6	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	7	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	8	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57		0	0	0	29.91	38	38		o	SC		10	7	
1948-01-01	9	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	10	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	11	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	12	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	"Noon: CG Yard, Curtis Bay MD"			39.2	-76.57				0	29.81	40	40		r	SC		10	7	
1948-01-01	13	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	14	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	15	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	16	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57		90	84	8	29.66	36	36		r	SC		10	1	
1948-01-01	17	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	18	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	19	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	20	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57		360	354	19	29.53	40	40		r	SC	360	10	1	
1948-01-01	21	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	22	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	23	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57														
1948-01-01	24	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0005.JPG	 			39.2	-76.57		360	354	19	29.37	37	37		b	SC	360	10	1	
1948-01-02	1	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	2	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	3	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	4	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57		360	354	8	29.24	38	38		or	SC	360	10	1	
1948-01-02	5	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	6	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	7	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	8	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57		360	354	8	29.32	38	36		or	SC	360	10	4	
1948-01-02	9	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	10	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	11	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	12	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	"Noon: CG Yard, Curtis Bay MD"			39.2	-76.57		360	354	8	29.39	36	36		o	SC	360	10	4	
1948-01-02	13	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	14	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
1948-01-02	15	39.2	-76.57			a		https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/opastorage/live/50/5479/38547950/content/dc-metro/rg-026/559642/2017-01/storis-wmec-38-1948/storis-wmec-38-1948_0006.JPG	 			39.2	-76.57														
