YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Index	Ice_Terms	Nav Terms	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course
1902-05-20	1	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		Top of Page: Port Townsend, Washington			48.08	-122.76	 
1902-05-20	2	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	3	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	4	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	5	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	6	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	7	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	8	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	9	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	10	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	11	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	12	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	13	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	14	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	15	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	16	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	17	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	18	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	19	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	20	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		 			48.08	-122.76	 
1902-05-20	21	48.08	-122.76			a					https://s3.amazonaws.com/NARAprodstorage/opastorage/live/55/2845/7284555/content/arcmedia/dc-metro/rg-026/585454-noaa/159a/thetis/vol600/26-159A-thetis-vol600_024.jpg		9.20 Underway and stood various courses around Pt Wilson			48.08	-122.76	 
