YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Ships	Other
1866-01-01	1	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						225	205	5		56		c		
1866-01-01	2	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						225	205	8				c		
1866-01-01	3	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						225	205	8				c		
1866-01-01	4	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						225	205	13	30.60	58		c		
1866-01-01	5	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						225	205	13				c		
1866-01-01	6	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						225	205	5				c		
1866-01-01	7	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						0	0	0				c		
1866-01-01	8	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						0	0	0	30.62	56		c		
1866-01-01	9	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						349	329	2				bc		
1866-01-01	10	38.70	-9.12			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-ticonderoga-005/581208-ticonderoga-005-037.JPG	 						349	329	2				bc		
