YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Other	
1863-01-01	1	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						45	26	5	30.42	56		bc		
1863-01-01	2	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						45	26	5	30.42	56		bc		
1863-01-01	3	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						45	26	5	30.42	56		bc		
1863-01-01	4	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						45	26	5	30.42	56		bc		
1863-01-01	5	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						45	26	5	30.42	56		bc		
1863-01-01	6	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						0	0	0	30.42	56		bc		
1863-01-01	7	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						0	0	0	30.42	56		bc		
1863-01-01	8	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						0	0	0	30.45	56		bc		
1863-01-01	9	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						0	0	0		56		bc		
1863-01-01	10	36.14	-5.36			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-002/581208-tuscarora-002-008.JPG	 						0	0	0		58		bc		
