YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather		
1864-01-01	1	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 						180	180	19				rqtl		
1864-01-01	2	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 														
1864-01-01	3	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 														
1864-01-01	4	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 									29.80	62				
1864-01-01	5	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 						225	225	19				rq		
1864-01-01	6	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 														
1864-01-01	7	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 														
1864-01-01	8	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 									29.84	60				
1864-01-01	9	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 						270	270	30						
1864-01-01	10	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 														
1864-01-01	11	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	 														
1864-01-01	12	34.70	-76.67			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-005/581208-tuscarora-005-110.JPG	"Noon: Beaufort Harbor, North Carolina."									29.98	56				
