YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	Ships
1866-01-01	1	-13.35	-38.64	180		8.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					"sxw,sxe"	101	94	8				bc	
1866-01-01	2	-13.47	-38.61	169		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	0245: cc S1/2E.					sxe	101	94	8				bc	
1866-01-01	3	-13.61	-38.58	170		8.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					"sxe,s1/2e"	101	94	8				bc	
1866-01-01	4	-13.76	-38.55	174		8.8		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					s1/2e	101	94	8	29.96	80	79	bc	
1866-01-01	5	-13.90	-38.53	174		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					s1/2e	101	94	2				bc	
1866-01-01	6	-14.02	-38.51	174		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					s1/2e	101	94	2		82	81	bc	
1866-01-01	7	-14.15	-38.49	174		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					s1/2e	101	94	8				bc	
1866-01-01	8	-14.29	-38.46	174		8.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					s1/2e	101	94	8	30.03	85	81	bc	
1866-01-01	9	-14.44	-38.44	174		9.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					s1/2e	113	106	5				bc	
1866-01-01	10	-14.58	-38.41	174		8.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-09/581208-tuscarora-007/581208-tuscarora-007-074.JPG	 					s1/2e	113	106	5		84	81	bc	
