YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Clear	Flora&Fauna	People	Ships	Other
1870-01-01	1	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	: At Anchor - Limon Bay - Aspinwall						11	16	2	30.00	80	79	81	bc	Cum + Str	6				
1870-01-01	2	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						11	16	2	29.99	80	79	81	bc	Cum + Str	6				
1870-01-01	3	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						11	16	2	29.98	80	79	81	bc	Cum + Str	6				
1870-01-01	4	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						11	16	2	29.98	80	79	81	bc	Cum + Str	6				
1870-01-01	5	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						11	16	2	30.00	79	78	81	bc	Cum + Str	6				
1870-01-01	6	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						349	354	2	30.00	79	78	81	bc	Cum + Str	6				
1870-01-01	7	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						349	354	2	30.00	79	78	81	bc	Cum + Str	6				
1870-01-01	8	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						349	354	2	30.00	79	78	81	bc	Cum + Str	6			0800-1200: Hermaph brig Winfield	
1870-01-01	9	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						338	343	2	30.00	79	78	81	bc	Cum	5				
1870-01-01	10	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	2	30.00	79	78	81	bc	Cum	6				
1870-01-01	11	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	2	30.00	79	78	81	bc	Cum	6				
1870-01-01	12	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	3	30.01	79	78	81	bc	Cum	5				
1870-01-01	13	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	3	29.96	81	80	81	bc	Cum	5				
1870-01-01	14	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	3	29.96	81	80	81	bc	Cum	5				
1870-01-01	15	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	3	29.96	81	80	81	bc	Cum	5				
1870-01-01	16	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	3	29.96	81	80	81	bc	Cum	5				
1870-01-01	17	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	3	29.94	81	79	81	bc	Cum	5				
1870-01-01	18	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	5	29.95	81	79	81	bc	Cum	5				
1870-01-01	19	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	5	29.96	81	79	81	bc	Cum	4				
1870-01-01	20	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	5	29.98	81	79	81	bc	Cum	6			2000-2400: The French Steamer Louisiana	
1870-01-01	21	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	2	30.00	80	78	81	bc	Cum	8				
1870-01-01	22	9.36	-79.92			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-017/581208-tuscarora-017-102.JPG	 						326	331	2	30.00	80	78	81	bc	Cum	8				
