YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other
1871-01-01	1	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						360	4	5	30.39	64	63	65	bc	cir	8			
1871-01-01	2	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						360	4	8	30.38	64	63	65	bc	cir	9			
1871-01-01	3	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						360	4	8	30.36	63	63	65	bc	cir	9			
1871-01-01	4	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						360	4	8	30.35	63	62	65	bc	cir	9			
1871-01-01	5	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						23	27	5	30.36	63	62	65	b	nnone	10			
1871-01-01	6	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						23	27	5	30.36	63	62	65	b	nnone	10			
1871-01-01	7	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						23	27	5	30.37	63	62	65	b	nnone	10			
1871-01-01	8	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						23	27	5	30.38	63	61	65	b	nnone	10			
1871-01-01	9	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						23	27	5	30.40	64	62	65	b	nnone	10			
1871-01-01	10	24.56	-81.81			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-021/581208-tuscarora-021-102.JPG	 						23	27	5	30.42	67	63	65	b	nnone	10			
