YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other
1876-01-01	1	-9.97	-176.33	222		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	281	289	10	29.43	82	81	80	83	bcpl	cu st	7			
1876-01-01	2	-10.02	-176.37	222		4.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	225	233	10	29.43	82	81	81	83	bcpl	cu ni	7			
1876-01-01	3	-10.07	-176.42	222		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	225	233	10	29.42	82	81	81	83	bcl	cu ni	7			
1876-01-01	4	-10.11	-176.45	222		3.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	214	222	10	29.40	82	81	81	83	bc	st ni	8			
1876-01-01	5	-10.15	-176.49	222		3.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	214	222	8	29.42	82	81	81	83	bcl	cu ni	7			
1876-01-01	6	-10.20	-176.53	222		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	214	222	8	29.44	82	81	81	83	bcp	ci ni	6			
1876-01-01	7	-10.21	-176.52			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	214	222	5	29.46	82	81	80	83	bc	cu st	4			
1876-01-01	8	-10.23	-176.54	222		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	169	177	5	29.45	83	82	81	83	bc	ci cu	6			
1876-01-01	9	-10.27	-176.58	222		3.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	135	143	1	29.43	83	82	82	84	bc	ci cu	7			
1876-01-01	10	-10.31	-176.61	222		3.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	135	143	1	29.43	84	83	83	84	bc	ci cu	4			
1876-01-01	11	-10.36	-176.65	222		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	225	233	9	29.47	85	84	84	84	bc	ni	4			
1876-01-01	12	-10.41	-176.70	222		4.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 			10 24 35 S	176 41 50 W	sw1/4s	225	233	8	29.45	82	80	80	84	bcp	ni	4			
1876-01-01	13	-10.42	-176.71	222		0.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	315	323	2	29.39	85	84	84	84	bc	ci cu st	7			
1876-01-01	14	-10.46	-176.76	222		3.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	315	323	1	29.38	87	84	84	85	bc	ci cu st	6			
1876-01-01	15	-10.51	-176.81	222		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	315	323	1	29.34	88	85	85	85	bc	ci cu st	6			
1876-01-01	16	-10.56	-176.87	222		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	315	323	1	29.33	88	85	85	85	bc	ci cu st	5			
1876-01-01	17	-10.61	-176.93	222		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	304	312	2	29.33	88	86	86	84	bc	ci cu st	4			
1876-01-01	18	-10.66	-176.99	222		4.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	304	312	2	29.37	86	86	86	84	bc	ci cu st	5			
1876-01-01	19	-10.72	-177.06	222		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	304	312	2	29.43	84	83	82	84	bc	ci cu st ni	4			
1876-01-01	20	-10.73	-177.07			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	304	312	2	29.44	84	83	82	84	bc	ci cu st ni	4			
1876-01-01	21	-10.76	-177.10	222		2.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	315	323	1	29.44	84	83	83	84	bc	ci cu	5			
1876-01-01	22	-10.81	-177.16	222		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	315	323	1	29.44	84	83	82	84	bc	ci cu	5			
1876-01-01	23	-10.86	-177.22	222		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	 					sw1/4s	315	323	2	29.45	84	83	82	84	bc	ci cu	3			
1876-01-01	24	-10.91	-177.29	222		4.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-011.JPG	0000: Sounding during day.					sw1/4s	293	301	3	29.44	84	83	82	84	bc	ci cu	1			
1876-01-02	1	-10.97	-177.35	222		4.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	293	301	3	29.41	83	82	82	84	bc	ci cu	3			
1876-01-02	2	-11.02	-177.41	222		4.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	293	301	2	29.40	83	82	82	84	bc	ci cu	2			
1876-01-02	3	-11.08	-177.48	222		4.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	293	301	5	29.41	82	80	80	84	bcpq	cu ni	2			
1876-01-02	4	-11.13	-177.54	222		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	293	301	2	29.43	82	80	80	84	bcr	cu ni	2			
1876-01-02	5	-11.18	-177.60	222		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	203	211	3	29.47	82	79	78	84	bcr	st ni	3			
1876-01-02	6	-11.23	-177.66	222		4.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	203	211	3	29.47	80	79	79	84	bc	cu ni	3			
1876-01-02	7	-11.26	-177.68	222		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	315	323	5	29.45	82	81	81	83	c	cu ni	0			
1876-01-02	8	-11.26	-177.69			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	281	289	5	29.45	82	81	81	83	c	cu ni	0			
1876-01-02	9	-11.32	-177.76	222		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	281	289	5	29.45	83	80	81	83	bc	cu ni	4			
1876-01-02	10	-11.38	-177.83	222		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	270	278	5	29.44	83	80	82	83	bc	cu ni	3			
1876-01-02	11	-11.44	-177.90	222		5.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2020-03/581208-tuscarora-033/581208-tuscarora-033-012.JPG	 					sw1/4s	270	278	5	29.42	84	83	82	84	bc	cu st	4			
