YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Weather	Clouds	From	Amount	Ships
1916-01-25	1	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SxE	135	134	2	30.62	50	27	27	BCZ	Ci S	270	3	
1916-01-25	2	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.62	49	27	27	BCZ	Ci S	270	3	
1916-01-25	3	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.61	48	27	27	BCZ	Ci S	270	3	
1916-01-25	4	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.61	48	26	26	BCZ	Ci S	270	3	
1916-01-25	5	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.59	48	25	25	BCZ	Ci S	270	3	
1916-01-25	6	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.57	51	24	24	BCZ	Ci S	270	3	
1916-01-25	7	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.55	47	29	24	BCZ	Ci S	270	3	
1916-01-25	8	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.53	43	31	29	BCZ	Ci S	270	3	
1916-01-25	9	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.50	40	32	31	BCZ	Ci S	270	3	
1916-01-25	10	32.10	118.73		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/villalobos-b01of12/villalobos-b01of12_0008.JPG	 					SW	135	134	2	30.47	40	33	32	BCZ	Ci S	270	3	
