YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Dry	Water	Weather	People	Ships	Other
1864-08-12	1	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	2	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	3	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	4	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	5	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	6	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	7	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	8	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	9	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	10	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	11	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 															
1864-08-12	12	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	Noon: Philadelphia Navy Yard															
1864-08-12	13	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	14	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			1413: The ship was put into commission.
1864-08-12	15	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	16	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	17	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	18	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	19	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	20	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	21	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	22	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	23	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-12	24	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0005.JPG	 						180	176	5				b			
1864-08-13	1	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	2	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	3	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	4	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	5	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	6	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	7	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	8	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	9	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	10	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	11	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	12	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	Noon: Philadelphia Navy Yard						180	176	5				b			
1864-08-13	13	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	14	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	15	39.89	-75.18			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	1530: Got Underway. Steamed down the bay.						180	176	5				b			
1864-08-13	16	39.87	-75.21	888		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	17	39.85	-75.30	888		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	18	39.82	-75.38	888		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	19	39.77	-75.46	888		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	20	39.71	-75.50	888		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						180	176	5				b			
1864-08-13	21	39.66	-75.55	888		4.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	2100: Anchored. Off Newcastle.						225	221	13				rain			
1864-08-13	22	39.66	-75.55			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						225	221	13				rain			
1864-08-13	23	39.66	-75.55			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						225	221	5				clear			
1864-08-13	24	39.66	-75.55			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						225	221	5				clear			
1864-08-14	1	39.66	-75.55			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol01of67/yantic-vol01of67_0006.JPG	 						281	277	5				fine			
