YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Ships	Other
1868-01-01	1	31.88	-79.61	33.75		5.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	326	327	13	29.76	75	58	53	70	od	ni	0		
1868-01-01	2	31.94	-79.56	33.75		4.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	0	0	0	29.76	75	58	53	70	od	ni	0		
1868-01-01	3	31.99	-79.50	33.75		4.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	0	0	0	29.76	75	58	53	70	od	ni	0		
1868-01-01	4	32.06	-79.44	33.75		5.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	304	305	19	29.76	75	58	53	70	od	ni	0		
1868-01-01	5	32.14	-79.37	33.75		6.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	304	305	19	29.78	71	57	51	70	od	ni	0		
1868-01-01	6	32.23	-79.29	33.75		6.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	304	305	13	29.78	71	57	51	70	od	ni	0		
1868-01-01	7	32.32	-79.21	33.75		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	304	305	8	29.82	71	52	51	70	od	ni	0		
1868-01-01	8	32.42	-79.12	33.75		7.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	304	305	5	29.89	71	52	50	70	od	ni	0		
1868-01-01	9	32.51	-79.03	33.75		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	315	316	13	29.92	67	56	52	69	oc	ni	0		
1868-01-01	10	32.60	-78.95	33.75		7.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	315	316	13	29.92	67	56	52	69	oc	ni	0		
1868-01-01	11	32.59	-78.95	33.75		0.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn	315	316	13	29.92	67	56	52	68	oc	ni	0		
1868-01-01	12	32.72	-78.83	33.75		10.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	Noon: Key west to Hampton Roads.					nexn	315	316	13	29.92	67	50	53	68	bc	cu ni	3		
1868-01-01	13	32.82	-78.71	42		8.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexn|ne1/2e	304	305	24	29.92	65	58	54	60	bc	cu ni	3		
1868-01-01	14	32.93	-78.54	50.62		10.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					ne1/2e	281	282	30	29.92	66	56	54	66	bc	cu ni	4		
1868-01-01	15	33.03	-78.37	50.62		11.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					ne1/2e	248	249	37	29.92	64	55	52	66	bc	cu ni	4		
1868-01-01	16	33.13	-78.21	50.62		10.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					ne1/2e	248	249	37	29.92	62	52	50	66	bc	cu ni	4		
1868-01-01	17	33.22	-78.06	50.62		9.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					ne1/2e	248	249	37	29.94	62	52	50	66	bc	cu ni	4		
1868-01-01	18	33.32	-77.91	50.62		9.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					ne1/2e	248	249	37	29.94	62	52	50	66	bc	cu ni	6		
1868-01-01	19	33.40	-77.77	50.62		8.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					ne1/2e	248	249	19	29.94	62	50	47	58	bc	cu	9		
1868-01-01	20	33.47	-77.65	50.62		7.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	"2000: Frying Pan shoals Ls brg NWx,W 10mi"			33.4744	-77.65	ne1/2e	248	249	19	29.94	62	50	47	58	bc	cu	9		
1868-01-01	21	33.53	-77.52	56.25		8.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexe	270	271	19	29.96	53	50	46	60	bc	cu	8		
1868-01-01	22	33.60	-77.39	56.25		8.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexe	270	271	24	29.96	53	50	46	60	bc	ci ni	6		
1868-01-01	23	33.67	-77.24	56.25		9.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexe	259	260	30	29.96	53	50	46	66	bc	ci ni	6		
1868-01-01	24	33.74	-77.11	56.25		8.4		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol09of67/yantic-vol09of67_0010.JPG	 					nexe	259	260	24	29.96	53	50	46	68	bc	ci ni	6		
