YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	People	Ships	Other	Other
1882-01-01	1	18.94	-74.01	270		2.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	360	2	5	30.12	81	77	73	81	bc	cu ni	6				
1882-01-01	2	18.93	-74.06	270		2.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	360	2	3	30.07	81	76	73	80	bc	cu ni	6				
1882-01-01	3	18.93	-74.13	270		3.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	360	2	6	30.07	81	76	73	81	bc	cu ni	7				
1882-01-01	4	18.92	-74.19	270		3.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	360	2	3	30.07	81	76	73	81	bc	cu ni	7				
1882-01-01	5	18.92	-74.23	270		2.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	23	25	3	30.08	80	76	72	81	bc	cu ni	7				
1882-01-01	6	18.91	-74.25	270		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	45	47	2	30.08	81	76	72	80	bc	ci cu	8				
1882-01-01	7	18.91	-74.27	270		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	135	137	2	30.10	82	77	72	80	bc	ci cu	8				
1882-01-01	8	18.90	-74.30	270		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					w	158	160	2	30.13	80	77	73	80	bc	ci cu	8				
1882-01-01	9	18.90	-74.32	270		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	0900: WSW					w	158	160	2	30.13	80	77	73	80	bc	ci cu	8				
1882-01-01	10	18.89	-74.34	270		0.7		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	1000: SW					w	158	160	2	30.16	81	78	75	80	bc	ci cu	9				
1882-01-01	11	18.89	-74.34			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 						158	160	2	30.16	81	78	75	80	bc	ci cu	9				
1882-01-01	12	18.88	-74.35	348.75		0.3		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 			18 53 3 N	74 20 45 W	nxw	0	0	0	30.16	82	78	75	80	bc	ci cu	9				
1882-01-01	13	18.88	-74.35			0.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					nexe	315	317	1	30.11	83	79	74	80	bc	ci cu	9				
1882-01-01	14	18.87	-74.35	157.5		0.5		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					sse	259	261	1	30.11	85	81	75	80	bc	ci cu	7				
1882-01-01	15	18.85	-74.36	180		1.2		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					s	248	250	1	30.11	85	81	75	80	bc	ci cu	4				
1882-01-01	16	18.83	-74.36	180		1.0		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol37of67/yantic-vol37of67_0093.JPG	 					s	248	250	1	30.11	86	81	75	80	bc	ci cu	4				
