YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Weather	Clouds	Clear	People	Ships	Other
1893-01-01	1	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						90	96	9	30.02	71	70	69	ocqpl	Nim Cum	0			
1893-01-01	2	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						338	344	14	30.02	70	68	68	ocqpl	Nim Cum	0			
1893-01-01	3	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						45	51	9	30.02	69	67	67	ocqp	Nim Cum	0			
1893-01-01	4	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						45	51	12	29.99	67	66	66	ocqp	Nim Cum	0		0400-0800: Essex	
1893-01-01	5	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						23	29	8	29.98	67	66	66	bc	Str Nim	2			
1893-01-01	6	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						23	29	5	29.98	67	66	66	bc	Nim Cum	4			
1893-01-01	7	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						23	29	5	30.00	68	70	69	bc	Str Cir	6			
1893-01-01	8	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						23	29	5	30.02	75	75	72	bc	Str Cir	7			
1893-01-01	9	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						158	164	5	30.06	79	75	73	bc	Cum Cir	5			
1893-01-01	10	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						135	141	5	30.08	77	73	71	bc	Cum Cir	5			
1893-01-01	11	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						191	197	5	30.08	76	73	71	bc	Cum Cir	5			
1893-01-01	12	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	Montevideo						180	186	5	30.09	77	75	73	bc	Cum Cir	5			
1893-01-01	13	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						203	209	5	30.10	77	74	73	bc	Cum Cir	7			
1893-01-01	14	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						180	186	5	30.10	77	74	72	bc	Str Cir	3			
1893-01-01	15	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						158	164	8	30.09	77	74	72	bc	Str Cir	4			
1893-01-01	16	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						158	164	8	30.08	77	73	72	bc	Str Cir	6			
1893-01-01	17	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						135	141	8	30.08	76	72	68	bc	Str Cir	8			
1893-01-01	18	-34.90	-56.23		 	a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol59of67/yantic-vol59of67_0021.JPG	 						124	130	8	30.08	75	73	72	bc	Str Cir	9			
