YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	URL_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	DirM	DirT	Kts	Baro	Attd	Dry	Wet	Water	Weather	Clouds	Clear	Amount	Flora&Fauna	People	Ships	Other
1897-01-01	1	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	0100: Spanish Moorings Montevideo					NE by E	45	51	13	30.03	68	66	62		oc	Nim	0					
1897-01-01	2	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					NNE	45	51	8	30.03	68	66	61		BC	Cum	3					
1897-01-01	3	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					NE by N	45	51	5	30.01	68	66	61		BC	Cum	6					
1897-01-01	4	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					NE by N	45	51	5	30.02	68	66	61	75	BC	Cum	1					
1897-01-01	5	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					NE by E	45	51	8	30.02	67	65	61		BC	Cum	1					
1897-01-01	6	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					NE	45	51	5	30.03	67	65	61		BC	Cum	3					
1897-01-01	7	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					NE by N	45	51	8	30.03	68	67	63		BC	Cum	3					
1897-01-01	8	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					NE by N	45	51	9	30.03	71	71	65	73	BC	Cum	2					
1897-01-01	9	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					ENE	68	74	8	30.03	74	74	67		BC	Cum	2					
1897-01-01	10	-34.88	-56.23			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/581208/2017-06/yantic-vol66of67/yantic-vol66of67_0206.JPG	 					ENE	68	74	8	30.02	77	75	67		BC	Cum	2					
